id,Lat_Dec,Lon_Dec,NO2uM,NO3uM,NH3uM,R_TEMP,R_Depth,R_Sal,R_DYNHT,R_Nuts,R_Oxy_micromol.Kg,,PO4uM,SiO3uM,TA1.x,Salinity1,Temperature_degC,DIC
1,34.38503,-120.66553,0.03,33.8,0,7.79,323,141.2,0.642,0,37.40948,,2.77,53.86,2287.45,34.198,7.82,2270.17
2,31.418333,-121.998333,0,34.7,0,7.12,323,140.8,0.767,0,64.81441,,2.57,52.5,2279.1,34.074,7.15,2254.1
3,34.38503,-120.66553,0.18,14.2,0,11.68,50,246.8,0.144,0,180.2915,,1.29,13.01,2230.8,33.537,11.68,2111.04
4,33.48258,-122.53307,0.013,29.67,0.01,8.33,232,158.5,0.562,0.01,89.62595,,2.27,38.98,2265.85,34.048,8.36,2223.41
5,31.41432,-121.99767,0,33.1,0.05,7.53,323,143.4,0.74,0.05,60.03062,,2.53,49.28,2278.49,34.117,7.57,2252.62
6,32.845,-117.54,0.08,5,0.14,13.05,50,293.1,0.176,0.14,231.7891,,0.75,5.9,2219.87,33.2479,13.06,2050.02
7,33.41763,-117.9034,0.007,38.76,0,6.31,518,114.6,0.857,0,11.74138,,3.16,76.82,2317.44,34.317,6.36,2313.94
8,34.27143,-120.02587,0.027,0.1,0.05,19.28,2,403.3,0.008,0.05,247.3206,,0.19,0.17,2242.14,33.575,19.28,1993.26
9,33.48453,-122.53108,0,34.8,0.03,7.21,323,141.8,0.78,0.03,60.4648,,2.63,51.81,2278.36,34.075,7.24,2256.01
10,33.1494,-123.22062,0.012,23.3,0.13,9.08,170,195.6,0.509,0.13,156.254,,1.78,23.78,2237.38,33.684,9.1,2158.32
11,32.65432,-119.48232,0.14,1.7,0.17,13.52,30,283.9,0.087,0.17,252.244,,0.46,3.3,2224.18,33.498,13.52,2030.42
12,33.41763,-117.9034,0.015,30.89,0,8.43,232,151,0.484,0,61.34119,,2.53,43.93,2277.66,34.161,8.45,2245.29
13,31.428333,-121.993333,0.02,0,0.09,14.37,37,313.3,0.117,0.09,257.9848,,0.31,2.6,2225.82,33.321,14.38,2013.13
14,34.315,-120.813333,0.06,17.9,0.03,10.52,60,233.1,0.167,0.03,176.7828,,1.48,15.9,2225.44,33.461,10.53,2123.64
15,33.418333,-117.898333,0,29.6,0.02,8.82,232,149.2,0.461,0.02,45.24377,,2.53,39.5,2306.13,34.2683,8.84,2256.35
